  Time                  I(Rs)                 V(R40:2)              V(C2:+)              
  2.694341659207e-003  1.330126962057e+000  -5.320507848230e+000  -4.697357709179e-001  
  2.695341682096e-003  1.333041575137e+000  -5.332166300547e+000  -4.708029101524e-001  
  2.696341704984e-003  1.335901617780e+000  -5.343606471122e+000  -4.718514620434e-001  
  2.697341727872e-003  1.338740781648e+000  -5.354963126593e+000  -4.728813851938e-001  
  2.698341750760e-003  1.341515863639e+000  -5.366063454557e+000  -4.738926389423e-001  
  2.699341773648e-003  1.344225701901e+000  -5.376902807604e+000  -4.748851833644e-001  
  2.700341796537e-003  1.346891013040e+000  -5.387564052161e+000  -4.758589792744e-001  
  2.701341819425e-003  1.349526254872e+000  -5.398105019488e+000  -4.768139882268e-001  
  2.702341842313e-003  1.352099897155e+000  -5.408399588621e+000  -4.777501725176e-001  
  2.703341865201e-003  1.354609706772e+000  -5.418438827086e+000  -4.786674951863e-001  
  2.704341888089e-003  1.357061555312e+000  -5.428246221248e+000  -4.795659200168e-001  
  2.705341910977e-003  1.359483018716e+000  -5.437932074863e+000  -4.804454115393e-001  
  2.706341933866e-003  1.361847173581e+000  -5.447388694324e+000  -4.813059350314e-001  
  2.707341956754e-003  1.364148735990e+000  -5.456594943960e+000  -4.821474565194e-001  
  2.708341979642e-003  1.366393339791e+000  -5.465573359164e+000  -4.829699427801e-001  
  2.709342002530e-003  1.368597898180e+000  -5.474391592719e+000  -4.837733613416e-001  
  2.710342025418e-003  1.370747594330e+000  -5.482990377318e+000  -4.845576804849e-001  
  2.711342048307e-003  1.372838827387e+000  -5.491355309546e+000  -4.853228692450e-001  
  2.712342071195e-003  1.374871842507e+000  -5.499487370029e+000  -4.860688974122e-001  
  2.713342094083e-003  1.376867576500e+000  -5.507470306000e+000  -4.867957355331e-001  
  2.714342116971e-003  1.378812703740e+000  -5.515250814960e+000  -4.875033549122e-001  
  2.715342139859e-003  1.380698441402e+000  -5.522793765609e+000  -4.881917276126e-001  
  2.716342162748e-003  1.382521981708e+000  -5.530087926833e+000  -4.888608264572e-001  
  2.717342185636e-003  1.384289890834e+000  -5.537159563335e+000  -4.895106250300e-001  
  2.718342208524e-003  1.386017888764e+000  -5.544071555054e+000  -4.901410976769e-001  
  2.719342231412e-003  1.387700914662e+000  -5.550803658648e+000  -4.907522195067e-001  
  2.720342254300e-003  1.389323230256e+000  -5.557292921023e+000  -4.913439663923e-001  
  2.721342277188e-003  1.390868155685e+000  -5.563472622741e+000  -4.919163149715e-001  
  2.722342300077e-003  1.392370712870e+000  -5.569482851480e+000  -4.924692426478e-001  
  2.723342322965e-003  1.393834018340e+000  -5.575336073361e+000  -4.930027275918e-001  
  2.724342345853e-003  1.395234469334e+000  -5.580937877336e+000  -4.935167487412e-001  
  2.725342368741e-003  1.396593570806e+000  -5.586374283226e+000  -4.940112858026e-001  
